Description,NES,p.adjust,cell_type,negLog_padjust
GOBP ENDOPLASMIC RETICULUM TO GOLGI VESICLE MEDIATED TRANSPORT,-2.4991013408489753,7.497482003041655e-5,EC,4.125084568047805
GOBP POSITIVE REGULATION OF DEFENSE RESPONSE,2.1895869109417774,7.512442830819941e-5,EC,4.12421881992816
GOBP CELLULAR ION HOMEOSTASIS,2.0415119410328546,8.990891555897132e-5,EC,4.046197240568427
GOBP REGULATION OF CHEMOTAXIS,2.1607763876016466,1.1045141140618511e-4,EC,3.956828730113945
GOBP METAL ION HOMEOSTASIS,1.9820331380363332,1.1098612200830675e-4,EC,3.9547313231234402
GOBP NEGATIVE REGULATION OF B CELL ACTIVATION,2.316406307896746,1.1891627329381976e-4,EC,3.9247587095687675
GOBP TOLL LIKE RECEPTOR SIGNALING PATHWAY,2.173767495991176,1.2369787585857618e-4,EC,3.907637758016956
GOBP REGULATION OF INNATE IMMUNE RESPONSE,2.1672537748554843,1.2825534086217513e-4,EC,3.891924540768383
GOBP ION HOMEOSTASIS,1.931576673032568,1.2825534086217513e-4,EC,3.891924540768383
GOBP ALPHA BETA T CELL ACTIVATION,2.2147714486571437,1.300704778211877e-4,EC,3.8858212643475096
GOBP POSITIVE REGULATION OF PHAGOCYTOSIS,2.2620436745199966,1.3061908813526924e-4,EC,3.8839933524172703
GOBP LEUKOCYTE MEDIATED CYTOTOXICITY,2.147892136415582,1.3241903540636902e-4,EC,3.878049580019246
GOBP POSITIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION,1.7601770934207426,1.3724918002263443e-4,EC,3.8624902415059865
GOBP EXPORT FROM CELL,1.8399508329004532,1.4127138384082015e-4,EC,3.8499458006329825
GOBP REGULATION OF LEUKOCYTE CHEMOTAXIS,2.1742830855056323,1.4238718775985498e-4,EC,3.846529087493616
GOBP CELL KILLING,2.1502022150881728,1.4238718775985498e-4,EC,3.846529087493616
GOBP NEGATIVE REGULATION OF CYTOKINE PRODUCTION,2.087150393476219,1.482323894428967e-4,EC,3.8290568906926747
GOBP REGULATION OF T CELL DIFFERENTIATION,2.211219387507172,1.6231533683853667e-4,EC,3.7896404426527677
GOBP ERK1 AND ERK2 CASCADE,2.0145376012061673,1.690671897784059e-4,EC,3.7719406660909174
GOBP REGULATION OF MONONUCLEAR CELL MIGRATION,2.1659010507369723,1.7240067738302257e-4,EC,3.7634610321126347
GOBP CHEMOKINE PRODUCTION,2.2705593281625784,1.755695743253007e-4,EC,3.7555507438257663
GOBP MAPK CASCADE,1.846306490029693,1.806846432995476e-4,EC,3.7430787573100015
GOBP REGULATION OF VESICLE MEDIATED TRANSPORT,1.9202638712719968,1.907663662107967e-4,EC,3.71949819282191
GOBP POSITIVE REGULATION OF CHEMOTAXIS,2.131950501992483,1.9421012677939219e-4,EC,3.711728128239837
GOBP POSITIVE REGULATION OF LEUKOCYTE CHEMOTAXIS,2.117533119377139,1.9421012677939219e-4,EC,3.711728128239837
GOBP POSITIVE REGULATION OF CHEMOKINE PRODUCTION,2.218701552992653,2.2980572731703372e-4,EC,3.6386391518392553
GOBP EMBRYONIC MORPHOGENESIS,-2.0430111222289282,2.615123735296486e-4,EC,3.582507757548081
GOBP POSITIVE REGULATION OF TRANSPORT,1.8082295488565252,2.615123735296486e-4,EC,3.582507757548081
GOBP POSITIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY,2.2127981893005395,2.622246369886492e-4,EC,3.581326507132714
GOBP INTERLEUKIN 1 PRODUCTION,2.1540694881336573,2.746690607995832e-4,EC,3.561190257509744
GOBP CELL CELL ADHESION,1.8220409753177396,2.746690607995832e-4,EC,3.561190257509744
GOBP POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE,2.081848291544021,3.267614282708149e-4,EC,3.4857692143115844
GOBP REGULATION OF CELL POPULATION PROLIFERATION,1.6220816363423605,3.282844805892617e-4,EC,3.483749647742051
GOBP EXOCYTOSIS,2.0198656818395504,3.813562084545979e-4,EC,3.4186691789314225
GOBP INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS,2.231718473290761,3.885391784836563e-4,EC,3.4105651824193712
GOBP INTERLEUKIN 10 PRODUCTION,2.1671554802410027,4.7174405978266576e-4,EC,3.3262935597795695
GOBP POSITIVE REGULATION OF MYELOID CELL DIFFERENTIATION,2.07730382991579,4.8463464306470366e-4,EC,3.3145855444822847
GOBP CELLULAR HOMEOSTASIS,1.825521145248646,4.8517764243790885e-4,EC,3.3140992201499833
GOBP LYMPHOCYTE MIGRATION,2.161344257031319,5.217417884768082e-4,EC,3.282544377427384
GOBP EPITHELIUM DEVELOPMENT,-1.782292690194334,5.546693215565758e-4,EC,3.2559658540366914
GOBP POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION,2.1161292403417344,5.58531864686565e-4,EC,3.25295204499639
GOBP RESPONSE TO LIPID,1.7352683144877052,5.856683228509344e-4,EC,3.2323482651014226
GOBP MAST CELL ACTIVATION,2.1319106367533394,6.079544281869811e-4,EC,3.216128973899448
