p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.1057299796254294,0.61,0.099,0,Fibroblasts,Gstt1
0,1.1051833411963945,0.995,0.983,0,Fibroblasts,Serf2
0,1.104418659146824,0.828,0.424,0,Fibroblasts,Ergic3
0,1.1020848856230447,0.95,0.388,0,Fibroblasts,Nedd4
0,1.098193708191076,0.516,0.032,0,Fibroblasts,Mfap2
0,1.0981370838173525,0.776,0.526,0,Fibroblasts,Igf1
0,1.0977662809968294,0.857,0.495,0,Fibroblasts,Prdx4
0,1.0866464463874488,0.834,0.526,0,Fibroblasts,Spcs1
0,1.0762931425524178,0.972,0.62,0,Fibroblasts,Slc25a4
0,1.0721860014054823,0.942,0.758,0,Fibroblasts,Edf1
0,1.0709644828607512,0.944,0.767,0,Fibroblasts,Elob
0,1.0623543589145452,0.381,0.007,0,Fibroblasts,Cpxm2
0,1.05503479305348,0.28,0.096,0,Fibroblasts,Ugdh
0,1.0517529638720449,0.86,0.446,0,Fibroblasts,Ostc
0,1.0508142846540764,0.512,0.091,0,Fibroblasts,Abcc9
0,1.0501302099945016,0.893,0.474,0,Fibroblasts,Rhoc
0,1.038236942906865,0.683,0.245,0,Fibroblasts,Mast4
0,1.0362181286656744,0.848,0.307,0,Fibroblasts,Htra1
0,1.033408316377038,0.75,0.21,0,Fibroblasts,Sod3
0,1.0302320613500398,0.525,0.106,0,Fibroblasts,Tgfbr3
0,1.02351462422165,0.478,0.015,0,Fibroblasts,Medag
0,1.0207458331140193,0.886,0.386,0,Fibroblasts,Cped1
0,1.0162251232590864,0.855,0.391,0,Fibroblasts,Eln
0,1.0104320387914392,0.586,0.125,0,Fibroblasts,Ppic
0,1.0046616371791783,0.581,0.132,0,Fibroblasts,Wfdc1
0,1.004342606481258,0.503,0.096,0,Fibroblasts,Crispld2
0,1.0037964763988017,0.782,0.411,0,Fibroblasts,Ecm1
0,1.0030682824872488,0.453,0.014,0,Fibroblasts,Tspan11
0,1.0030335554367276,0.46,0.006,0,Fibroblasts,Scn7a
0,1.0015985254786726,0.984,0.833,0,Fibroblasts,Laptm4a
0,1.0003059548878415,0.313,0.021,0,Fibroblasts,Hsd11b1
0,0.99740313398051,0.865,0.421,0,Fibroblasts,Map1lc3a
0,0.9962303922145201,0.458,0.044,0,Fibroblasts,Fmo1
0,0.9949998053314124,0.557,0.083,0,Fibroblasts,Gpx7
0,0.9897988895891998,0.717,0.212,0,Fibroblasts,S100a16
0,0.9897067849675187,0.547,0.131,0,Fibroblasts,Sdc2
0,0.9841930123927369,0.843,0.579,0,Fibroblasts,Sec61g
0,0.9840477602243225,0.766,0.355,0,Fibroblasts,Ssr2
0,0.9834647893578263,0.971,0.531,0,Fibroblasts,Cd9
0,0.9827991835118216,0.499,0.123,0,Fibroblasts,Naaladl2
0,0.9817313107651049,0.503,0.106,0,Fibroblasts,Plod2
0,0.9771470234204891,0.535,0.091,0,Fibroblasts,Qpct
0,0.9757556057266006,0.364,0.037,0,Fibroblasts,Tmeff2
0,0.9754449037550768,0.968,0.854,0,Fibroblasts,Rps2
0,0.9693847439877683,0.915,0.589,0,Fibroblasts,Ifi27
0,0.9634774941848083,0.261,0.012,0,Fibroblasts,Gria4
0,0.9620097251612902,0.515,0.065,0,Fibroblasts,C1ra
0,0.9583510020135523,0.313,0.085,0,Fibroblasts,Sema3c
0,0.9567796874923619,0.378,0.013,0,Fibroblasts,Il33
0,0.9519349321060249,0.344,0.029,0,Fibroblasts,Fbln7
0,0.9504107655467203,0.293,0.04,0,Fibroblasts,Fndc1
0,0.949431511419789,0.51,0.112,0,Fibroblasts,Dkk3
0,0.949059076698827,0.501,0.107,0,Fibroblasts,Atf5
0,0.947855432978633,0.724,0.321,0,Fibroblasts,Dlc1
0,0.9455931811293978,0.322,0.033,0,Fibroblasts,Vegfd
0,0.9455083119305954,0.433,0.041,0,Fibroblasts,C1qtnf7
0,0.9421385314779048,0.824,0.473,0,Fibroblasts,Ndufa11
0,0.9388704241122503,0.526,0.169,0,Fibroblasts,Gstp1
0,0.9386136171577326,0.25,0.004,0,Fibroblasts,Ebf2
0,0.9365582910855206,0.875,0.536,0,Fibroblasts,Svil
0,0.9353264290116385,0.916,0.664,0,Fibroblasts,Prdx2
0,0.9348293860891741,0.507,0.164,0,Fibroblasts,Magi2
0,0.9315321715685494,0.876,0.643,0,Fibroblasts,Manf
0,0.9305341721741587,0.509,0.074,0,Fibroblasts,Nnmt
0,0.9201577841471023,0.54,0.09,0,Fibroblasts,Olfml2b
0,0.9188218882350316,0.49,0.212,0,Fibroblasts,Mt2
0,0.9080168387874302,0.886,0.582,0,Fibroblasts,Mpc2
0,0.8991800888622337,0.938,0.795,0,Fibroblasts,Smdt1
0,0.8974862644919984,0.325,0.01,0,Fibroblasts,Fst
0,0.8930192806160182,0.58,0.152,0,Fibroblasts,Mxra8
0,0.8902749022030187,0.879,0.334,0,Fibroblasts,Ltbp4
0,0.8887649246946091,0.28,0.053,0,Fibroblasts,Efemp1
0,0.888222614623785,0.503,0.1,0,Fibroblasts,Slc43a3
0,0.886605845059814,0.444,0.036,0,Fibroblasts,G0s2
0,0.8837527011856428,0.458,0.119,0,Fibroblasts,Ntrk3
0,0.8805728880984892,0.645,0.27,0,Fibroblasts,Eva1b
0,0.879286414905287,0.444,0.074,0,Fibroblasts,Prickle1
