Description,NES,p.adjust,cell_type,negLog_padjust
GOBP REGULATION OF CELLULAR COMPONENT MOVEMENT,-2.076498466092048,3.1815165825497356e-4,allECs,3.497365808812771
GOBP POSITIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION,-2.3795592786293045,3.4300556885948584e-4,allECs,3.464698828921334
GOBP POSITIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II,-2.0896434108302357,3.4449790067594743e-4,allECs,3.4628134202806797
GOBP POSITIVE REGULATION OF CELL DIFFERENTIATION,-2.160766187979926,3.68810756080817e-4,allECs,3.4331964215706114
GOBP PHOSPHORYLATION,-1.919142878148875,3.943881304493348e-4,allECs,3.404076164110965
GOBP REGULATION OF GTPASE ACTIVITY,-2.251977253073593,4.0752251593498056e-4,allECs,3.389848391154248
GOBP NEGATIVE REGULATION OF SIGNALING,-1.9899758294186018,4.4722546159721183e-4,allECs,3.349473479011639
GOBP POSITIVE REGULATION OF HYDROLASE ACTIVITY,-2.13889543331828,4.478985193104528e-4,allECs,3.348820373269451
GOBP REGULATION OF VESICLE MEDIATED TRANSPORT,-2.175002043338491,4.487804363820027e-4,allECs,3.347966083473219
GOBP NEGATIVE REGULATION OF MOLECULAR FUNCTION,-2.012079144023909,4.604449602906659e-4,allECs,3.336822276152588
GOBP NEGATIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II,-2.0896867031461026,4.727292714511425e-4,allECs,3.325387505299957
GOBP REGULATION OF DNA TEMPLATED TRANSCRIPTION IN RESPONSE TO STRESS,-2.3397442250669167,5.114124565729832e-4,allECs,3.2912286979854253
GOBP RESPONSE TO PEPTIDE,-2.1326703636238125,5.286665588421841e-4,allECs,3.2768181603148414
GOBP POSITIVE REGULATION OF LEUKOCYTE CHEMOTAXIS,-2.3175135264138653,5.700799378622384e-4,allECs,3.2440642423304307
GOBP LYMPHOCYTE MIGRATION,-2.2810248217084568,6.177204443490536e-4,allECs,3.2092080248221753
GOBP ALPHA BETA T CELL ACTIVATION,-2.3099853275691937,6.375342111910722e-4,allECs,3.195496505273852
GOBP NEGATIVE REGULATION OF LEUKOCYTE CELL CELL ADHESION,-2.2747102626692284,6.464940323168991e-4,allECs,3.1894354796680457
GOBP REGULATION OF ADAPTIVE IMMUNE RESPONSE,-2.277842815633073,6.517356025701162e-4,allECs,3.1859285540122086
GOBP ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS,-2.2965570602096994,6.960161773664597e-4,allECs,3.157380666051312
GOBP REGULATION OF PROTEIN PHOSPHORYLATION,-2.009832067906698,6.960161773664597e-4,allECs,3.157380666051312
GOBP G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY,-2.292505303005335,7.034469118414199e-4,allECs,3.152768672592138
GOBP NEGATIVE REGULATION OF LEUKOCYTE PROLIFERATION,-2.2962080016012765,8.176229013860964e-4,allECs,3.0874469525734565
GOBP POSITIVE REGULATION OF MOLECULAR FUNCTION,-1.875447271799159,8.176229013860964e-4,allECs,3.0874469525734565
GOBP POSITIVE REGULATION OF MONONUCLEAR CELL MIGRATION,-2.259755557336619,8.252117711368721e-4,allECs,3.083434585711818
GOBP POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION,-2.2673889806332554,8.949991185623544e-4,allECs,3.048177392397713
GOBP NEGATIVE REGULATION OF CELL DIFFERENTIATION,-2.1636355427659546,8.949991185623544e-4,allECs,3.048177392397713
GOBP RESPONSE TO ORGANIC CYCLIC COMPOUND,-2.0229472048075907,8.949991185623544e-4,allECs,3.048177392397713
GOBP PROGRAMMED CELL DEATH,-1.8400760263041205,8.949991185623544e-4,allECs,3.048177392397713
GOBP RESPONSE TO NITROGEN COMPOUND,-1.9471015700441716,8.984179643249892e-4,allECs,3.0465215727203154
GOBP T CELL PROLIFERATION,-2.249838060189893,0.0010132909536709905,allECs,2.99426583456984
GOBP REGULATION OF TRANSFERASE ACTIVITY,-2.022431252065422,0.0010132909536709905,allECs,2.99426583456984
GOBP REGULATION OF T CELL PROLIFERATION,-2.2778536475302444,0.0010199099240386185,allECs,2.991438182375728
GOBP RESPONSE TO INTERLEUKIN 1,-2.239591949593651,0.0010869955203238965,allECs,2.9637722457045252
GOBP NEGATIVE REGULATION OF CELL POPULATION PROLIFERATION,-2.0541561209865224,0.0010869955203238965,allECs,2.9637722457045252
GOBP POSITIVE REGULATION OF LOCOMOTION,-2.106383611107634,0.0011859618519923076,allECs,2.925929280394767
GOBP RESPONSE TO WOUNDING,-2.072660314132184,0.0011859618519923076,allECs,2.925929280394767
GOBP MONOCYTE CHEMOTAXIS,-2.2551317278057597,0.0012561663957861202,allECs,2.900952828763391
GOBP REGULATION OF CELL DEATH,-1.8262675649342373,0.001272564109094323,allECs,2.895320329600574
GOBP INTERLEUKIN 1 PRODUCTION,-2.198602663121362,0.0013204185621828876,allECs,2.879288379072916
GOBP CELLULAR RESPONSE TO NITROGEN COMPOUND,-2.027245796455213,0.0015010615423976374,allECs,2.8236015016436147
GOBP MUSCLE CELL PROLIFERATION,-2.1642124260632776,0.001526726804367065,allECs,2.816238669538688
